Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,48.880001,51.000000,45.340000,46.000000,46.000000,15936700
2024-03-25,47.090000,61.939999,46.080002,59.799999,59.799999,24398800
2024-03-26,67.709999,74.900002,63.209999,65.110001,65.110001,35331000
2024-03-27,63.759998,63.759998,55.619999,57.750000,57.750000,18758300
2024-03-28,54.520000,55.299999,49.099998,49.320000,49.320000,12608100
2024-04-01,48.950001,49.279999,44.395000,45.970001,45.970001,12987900
2024-04-02,45.055000,51.349998,44.000000,50.450001,50.450001,9442900
2024-04-03,49.700001,51.240002,46.549999,46.990002,46.990002,4822900
2024-04-04,46.700001,48.430000,45.099998,45.779999,45.779999,4618400
2024-04-05,45.680000,48.290001,44.680000,47.560001,47.560001,2927000
2024-04-08,47.860001,49.180000,45.040001,46.150002,46.150002,2661500
2024-04-09,46.400002,47.490002,44.900002,45.000000,45.000000,2277300
2024-04-10,44.000000,44.598000,41.720001,42.090000,42.090000,4350100
2024-04-11,42.049999,46.349998,42.009998,44.529999,44.529999,4263000
2024-04-12,43.470001,43.860001,42.160000,42.270000,42.270000,2013400
2024-04-15,41.939999,42.099998,39.680000,40.000000,40.000000,3448500
2024-04-16,40.500000,42.139999,39.320000,41.139999,41.139999,1699000
2024-04-17,40.400002,40.605000,38.700001,39.169998,39.169998,2153800
2024-04-18,38.799999,42.130001,37.349998,41.720001,41.720001,2284100
2024-04-19,40.570000,43.830002,40.169998,40.880001,40.880001,2528100
2024-04-22,40.880001,42.570000,40.509998,42.040001,42.040001,1486400
2024-04-23,42.070000,44.060001,41.821999,42.820000,42.820000,1956500
2024-04-24,42.660000,43.970001,42.450001,43.150002,43.150002,1384000
2024-04-25,41.639999,42.639999,40.849998,42.450001,42.450001,1485800
2024-04-26,42.980000,46.199001,42.650002,45.430000,45.430000,2764200
2024-04-29,46.049999,48.880001,45.849998,46.279999,46.279999,2678300
2024-04-30,45.470001,46.755001,44.150002,44.439999,44.439999,1752900
2024-05-01,44.869999,47.700001,44.599998,45.880001,45.880001,1598100
2024-05-02,46.610001,49.639000,45.720001,47.700001,47.700001,2365000
2024-05-03,48.439999,48.700001,46.240002,46.639999,46.639999,1188300
2024-05-06,46.990002,49.869999,46.750000,48.270000,48.270000,2116700
2024-05-07,47.730000,50.330002,47.400002,49.400002,49.400002,6241700
2024-05-08,55.000000,55.160000,49.700001,51.400002,51.400002,13509300
2024-05-09,51.240002,51.250000,48.250000,50.110001,50.110001,3909100
2024-05-10,50.639999,54.750000,50.380001,53.529999,53.529999,4450800
2024-05-13,56.490002,61.209999,55.590000,58.189999,58.189999,8072600
